Categoría,Nombre producto en Español,Nombre producto en Inglés,Descripción,Palabras claves,Link
Autorizaciones,Esquema de un cliente asociado,Esquema de un cliente asociado,Permite consultar...,"relación cliente, cambio de estado, titular, delegado, persona natural, persona jurídica, relación, autorización, autorizaciones",https://internal-developers.bancolombia.com/sandbox//node/3374
Autorizaciones,Nombre en español,Security access entitlement delegates,Permite consultar...,"gestión de delegados, entitlement, rol, actualización rol, delegado, delegados de un cliente,  autorización, autorizaciones",https://internal-developers.bancolombia.com/sandbox//node/2729
Autorizaciones,Nombre en español,Security access entitlement owners,Permite consultar...,"titulares, cliente, gestión titulares, crear titular persona, consultar titulares, autorización, autorizaciones",https://internal-developers.bancolombia.com/sandbox//node/2726
Autorizaciones,Nombre en español,Security access entitlement privileges,Permite consultar...,"privilegios, autorización, autorizaciones",https://internal-developers.bancolombia.com/sandbox//node/3909
Autorizaciones,Nombre en español,Security access entitlement schemes,Permite consultar...,"esquema asociado a un títular, autorización, autorizaciones",https://internal-developers.bancolombia.com/sandbox//node/4221
Autorizaciones,Nombre en español,Security Alphanumeric,Permite consultar...,"validar clave, crear clave, clave alfanumerica, autorización, autorizaciones",https://internal-developers.bancolombia.com/sandbox//node/4291
Autorizaciones,Nombre en español,Security Contacts ,Permite consultar...,"información clientes, administrar contactos, gestionar contactos,  autorización, autorizaciones",https://internal-developers.bancolombia.com/sandbox//node/4451
Autorizaciones,Nombre en español,Third Party Authentication,Permite consultar...,"generar url autenticación, FUA, autenticación, tercero, autenticación frente a tercero, autorización, autorizaciones",https://internal-developers.bancolombia.com/sandbox//node/4288
Autorizaciones,Nombre en español,Third Party Authorization,Permite consultar...,"gestión de autorizaciones, autorizaciones, autorizaciones cliente, relaciones cliente, relación cliente, relación comercio, consultar relaciones cliente, relaciones cliente, relaciones comercio, autorización, autorizaciones",https://internal-developers.bancolombia.com/sandbox//node/3996
Autorizaciones,Nombre en español,Second Security factor,Permite consultar...,"segundo factor, factor de identificación, OTP, push, autenticar, autenticación",https://internal-developers.bancolombia.com/sandbox//node/3545
Administración ciclo de vida del activo - Leasing,Nombre en español,Leasing Condition,Permite consultar...,"Condiciones de pago, Leasing Habitacional, Estado de la cuenta, leasing, condiciones financieras, negocio leasing, obligación leasing",https://internal-developers.bancolombia.com/sandbox//node/4415
Administración ciclo de vida del activo - Leasing,Nombre en español,Operation Leasing,Permite consultar...,"Consulta de la operación, Estado de la operación, Producto de la operación, leasing, arrendamiento, habitacional, operativo, obligación leasing",https://internal-developers.bancolombia.com/sandbox//node/4399
Administración ciclo de vida del activo - Leasing,Nombre en español,Payment Leasing,Permite consultar...,"Proximo pago, Leasing Financiero, Arrendamiento Operativo, leasing, Leasing Habitacional, pagos leasing, pagos, pagos vencidos, plan de pagos, planes de pago, obligación leasing, transacción de pago, pago delfin, anulación, anulación pago, condiciones de pago, delfin",https://internal-developers.bancolombia.com/sandbox//node/3665
Depósitos,Cuentas,Account,Permite consultar...,"caracterísiticas cuenta, condiciones, plan, cuentas, cuenta de ahorros, cuenta corriente, cuenta, cuenta cancelada, inactividad, débito, crédito, marcas de cuenta, restricciones, cuenta recaudadora, transferencia, transferencia entre cuentas, cuentas bancolombia, transacción débito, transacción crédito, anular transferencia, bloquear saldo, saldo disponible, cancelar cuenta, cancelación de cuenta, desbloquear saldo, validar relación cliente, validar cuenta, titular, cotitular, listar planes, planes de cuentas, participantes, listar participantes, exención impuesto, impuesto, GMF, gravamen, exonerar impuesto, 4x100, 4 x 1000, abonar dinero, abono, abonar, retirar dinero, trasferir dinero, transferir entre cuentas, anular transacción, anular débito, anular crédito, anular, anular transferencia",https://internal-developers.bancolombia.com/sandbox//node/4507
Depósitos,Nombre en español,Bank Account,Permite consultar...,"apertura de cuenta, depósitos, cuentas de ahorro, cuentas corriente, cuentas ahorro, plan de cuentas, plan tradicional, plan, depósitos",https://internal-developers.bancolombia.com/sandbox//node/4441
Depósitos,Cuentas de clientes,Customer Account,Permite consultar...,"depósitos, cuentas de ahorro, cuentas corriente, cuentas ahorro, plan de cuentas, plan tradicional, plan, depósitos, consultar características, consultar condiciones, características, condiciones, listar cuentas, listar cuentas de un cliente, consultar saldos, saldos, consultar saldos cuentas",https://internal-developers.bancolombia.com/sandbox//node/4713
Depósitos,Bolsillos,Deposits Design,Permite consultar...,"depósitos, listar marcas de cuentas, consultar códigos de transacciones, catálogo grupos de transacciones",https://internal-developers.bancolombia.com/sandbox//node/3992
Depósitos,Nombre en español,Pocket,Permite consultar...,"depósitos, bolsillos, condiciones bolsillos, retirar dinero bolsillos, saldo bolsillos, transferencia bolsillos, abonar dinero, movimientos bolsillos",https://internal-developers.bancolombia.com/sandbox//node/3410
Ecosistema del riesgo de crédito,Nombre en español,Customer Risk Behavior,Permite consultar...,"Central Interna, Evaluación central interna, riesgos",https://internal-developers.bancolombia.com/sandbox//node/1703
Ecosistema del riesgo de crédito,Nombre en español,Customer Behavioral Models,Permite consultar...,"riesgos, Score de comportamiento, Score Interno, Ingreso neto disponible PN, Capacidad de pago, Nuevo Endeudamiento, Ingresos, egresos, estimados",https://internal-developers.bancolombia.com/sandbox//node/3036
Ecosistema del riesgo de crédito,Nombre en español,Consumer Loan Behavioral Models,Permite consultar...,"riesgos, Respuesta al frente Consumo, Inclusión, Decisión de Credito",https://internal-developers.bancolombia.com/sandbox//node/4148
Ecosistema del riesgo de crédito,Nombre en español,Mortgage Loan Behavioral,Permite consultar...,"riesgos, Respuesta al frente Vivienda, estudio de crédito vivienda",https://internal-developers.bancolombia.com/sandbox//node/3585
Ecosistema del riesgo de crédito,Nombre en español,Customer Profile Information,Permite consultar...,riesgos,https://internal-developers.bancolombia.com/sandbox//node/1104
Ecosistema del riesgo de crédito,Nombre en español,Customer Profile Product,Permite consultar...,riesgos,https://internal-developers.bancolombia.com/sandbox//node/3161
Ecosistema del riesgo de crédito,Nombre en español,Merchandising Loan,Permite consultar...,riesgos,https://internal-developers.bancolombia.com/sandbox//node/3744
Ecosistema del riesgo de crédito,Nombre en español,Consumer Loan,Permite consultar...,riesgos,https://internal-developers.bancolombia.com/sandbox//node/3783
Desembolsos y Administración de Cartera,Nombre en español,Loan Billing,Permite consultar...,"préstamos, cartera, desembolsos, consulta de facturas pendientes, facturas correspondientes",https://internal-developers.bancolombia.com/sandbox//node/4032
Desembolsos y Administración de Cartera,Nombre en español,Loan Disbursement,Permite consultar...,"préstamos, cartera, desembolsos, desembolsar crédito, originar crédito",Pendiente
Desembolsos y Administración de Cartera,Nombre en español,Loan Information,Permite consultar...,"préstamos, cartera, desembolsos, Consulta detallada de un préstamo, consultar préstamo, préstamo, datos de un préstamos, consulta planes de crédito",Pendiente
Desembolsos y Administración de Cartera,Nombre en español,Loan Transactions,Permite consultar...,"préstamos, cartera, desembolsos, consulta general de transacciones aplicadas a un préstamo, transacciones préstamos, consultar transacciones préstamo, préstamo, transacción específica préstamo, transacción, transacciones",Pendiente
Desembolsos y Administración de Cartera,Nombre en español,Loan Utilities,Permite consultar...,"préstamos, cartera, desembolsos, Cálculo cuota periódica de un crédito, calcular cuota préstamo, préstamo, calcular cuota",https://internal-developers.bancolombia.com/sandbox//node/1844
